"특성별(1)",특성별(2),2017,2017,2018,2018,2019,2019,2020,2020
"특성별(1)",특성별(2),재택근무 (%),영상회의 (%),재택근무 (%),영상회의 (%),재택근무 (%),영상회의 (%),재택근무 (%),영상회의 (%)
"특성별(1)",특성별(2),없다,없다,없다,없다,없다,없다,없다,없다
"기관유형",중앙행정기관,98.0,62.9,98.2,69.5,98.4,60.8,35.4,46.5
